time,GovtDebttoGDP,GDPPerCapita,RRDC,GOVTEFFECTIVENESS,PoliticalStability,VOICEANDACCOUNTABILITY,RegulatoryQuality,RuleofLaw,ControlofCorruption,GDPGROWTHANNUALRATE,UnemploymentRate,InflationRate,InterestRate,status
2491,72,4541,1,-1.34,-2.5,-1.15,-1.01,-1.59,-1.34,3.2,15.2,1.9,1.25,1
3650,8.76,4153,1,0.03,0.36,0.16,0.2,-0.36,-0.44,3.9,9.9,4.76,4,0
3650,36.5,4153,1,1.75,1.44,1.21,0.89,1.59,1.25,4.9,26,41.15,16,0
3548,42.23,3793,0,-0.09,-0.07,0.33,-0.96,-0.8,-0.59,-2.6,18.4,-0.6,6.5,1
3650,16,6116,1,1.47,1.19,1.4,1.43,1.85,1.49,-3.4,5,12.1,15,0
3650,27.3,973,0,0.57,-1.08,-1.32,0.83,0.46,0.17,7.05,4.3,5.38,6.75,0
2398,27.3,6159,,1,1.32,1.24,0.51,1.05,1.79,-1.3,1,11.4,18,1
3650,20.8,827.2,0,-0.7,0.04,0.56,-0.47,-0.74,-0.21,5,1,-3.4,4.5,0
3650,98.9,2580,0,0.98,1.01,,0.89,0.9,1.25,5.5,2.6,2.82,6,0
3215,39.7,2373,1,0.41,1.1,-0.06,-0.71,0.51,0.98,3.24,7.4,3.88,1.81,1
3650,30.9,4808,,-0.66,-0.28,-0.06,-0.91,-1.15,-0.68,2.3,41.25,-0.4,5.24,0
3650,22.7,7080,1,-0.54,-0.45,-0.11,-0.18,-0.29,-0.37,1.6,20,2.9,5.5,0
3650,28.3,630.67,0,0.22,0.02,0.39,0.55,-0.12,-0.31,5.4,6.6,-0.7,4.5,0
3650,15.2,209.66,0,-0.59,-0.65,-0.19,-0.36,-0.53,-0.34,-4.1,7.7,7.1,7.95,0
3650,33.88,1021,0,-1.15,-1.73,-1.27,-0.71,-1.12,-1.17,7.2,0.5,2.89,1.45,0
3650,19.9,1309.33,1,-0.69,-0.1,-1.09,-0.48,-0.92,-1.04,3.7,4,0.55,2.45,0
3650,123,3578.64,0,1.77,1.24,1.44,1.71,1.84,1.85,3.5,12.4,-1.3,7.5,0
3650,,,,,,,,,,4.9,7.6,38.04,2.45,0
3650,25.7,951.69,1,-1.79,-2.09,-1.32,-1.44,-1.72,-1.31,5.6,5.6,-5,2.45,0
3650,25.4,616.44,0,-0.03,-1.06,-0.07,0.45,-0.31,-0.29,3.2,7,1.4,1.16,0
3650,53.7,1570.25,0,1.85,0.89,1.57,1.73,2.04,2.23,6.7,54,3.7,12.7,0
3650,,,,,,,,,,,,,,0
706,33.1,5337,1,-0.34,0.17,0.13,-0.04,-0.46,-0.77,-2.2,6.7,1.05,8.38,1
3650,6.4,13276.13,1,-0.24,-0.05,0.13,0.2,-0.59,-0.43,-10.6,22.3,3.9,2.45,0
3650,23.9,480.38,0,-1.42,-0.19,-2,-1.35,-1.4,-1.83,0.3,14.5,12.5,,0
3650,28.6,486.27,0,1.09,0.62,1.17,1.66,1.33,1.25,9.6,16.8,7,5,0
1435,34.1,10735.79,1,1.09,0.54,1.23,1.45,1.32,1.03,4.2,20.3,2.09,2.45,1
3650,50.7,528.79,0,-0.73,0.03,-0.95,-0.8,-0.54,-0.67,4.7,29.8,7.43,23,0
1558,43.1,4010,0,-0.89,0.01,-1.48,-0.49,-0.66,-0.77,2.3,12,0.2,6.5,1
1365,67.6,1696.08,1,1.74,0.72,1.43,1.67,1.78,1.82,2.5,5.2,15.5,25.5,1
3650,29.5,417.1,1,-0.71,-0.65,-0.42,-0.2,-0.99,-0.71,0.1,1.7,8.5,12.5,0
3650,32.2,534.52,0,-1.14,-0.45,-0.89,-0.86,-1.17,-0.97,5.2,7.6,0.6,4.5,0
3650,48.8,3663.42,1,-1.62,-0.44,-0.81,-1.2,-1.3,-1.43,3,21,0.8,5,0
3357,44.06,2329,0,-2,-0.73,-0.84,-1.16,-1.17,-1.26,3.6,7.3,3.04,5.5,1
3650,67.2,1805,0,1.5,1.27,1.4,1.27,1.67,1.95,7.3,4.9,3.63,6.25,0
2502,93.4,3976,,1.28,1.51,1.23,1.15,1.74,1.19,1.9,15.8,0.5,3.75,1
3650,52.8,1133.46,0,-0.05,-0.1,-1.15,-0.03,-0.37,-0.76,5.7,40,6.68,10,0
3650,55.2,1017.15,1,-0.02,-0.11,-0.65,-0.16,0.03,-0.22,2,2.2,-0.5,5,0
3650,44.48,1537.53,1,-0.9,-0.87,-0.47,-0.47,-1,-1.08,7,1.4,1.84,4.25,0
3650,57.3,1226.6,0,-0.47,-1.72,-0.48,-0.28,-0.79,-0.88,3.4,25.3,5.7,6.69,0
3650,24,368.26,1,-0.67,-0.1,0.08,-0.39,-0.17,0.07,0.3,3.8,8.5,13.7,0
3650,6.1,5449.03,1,-1.37,-0.74,-0.26,-0.88,-0.87,-0.61,-6,19.5,27.4,3,0
3650,34.9,409.06,0,0.13,-0.2,-0.18,0.45,-0.17,-0.13,3,1.2,6.7,8.3,0
3650,29.4,494.41,0,-1.29,-0.4,-0.42,-0.76,-0.69,-0.76,2.9,6.6,19.9,24,0
3650,20.4,7160.54,0,0.96,0.19,-0.35,0.77,0.57,0.28,6.8,11.6,0.4,7,0
3650,176.11,902.55,1,-0.38,0.48,-0.5,-0.42,-0.52,-0.27,5.4,8.2,-2.2,4.5,0
3650,80.6,1338.19,1,0.72,1.01,,1.25,-0.02,1.25,3.1,12.85,2.6,9,0
3253,77.4,3943,1,,1.02,1.05,,,,-1.6,9.4,0.2,15,1
2440,,,,,,,,,,2.7,19.51,0.4,,1
3650,55.4,509.77,1,-0.06,-0.34,-0.66,-0.17,-0.08,-0.25,3.7,17,26.83,23.25,0
2855,34,6013.77,,-1.24,-1.17,-1.3,-1.26,-1.22,-0.89,-1,28.1,7.3,7,1
3650,25.4,689.81,0,-0.57,0.61,0.58,-1.24,-1.16,-0.48,0.77,3,6.7,7,0
3650,36.4,383.83,1,-0.8,-0.03,-0.39,-0.43,-0.7,-0.87,5.6,2.25,-0.6,4.5,0
2576,11.5,2548,1,-0.61,-0.98,-0.25,-0.73,-0.61,-0.58,-2.24,13.3,18.48,14,1
43,,,,,,,,,,4.24,5.9,3.81,1,1
3302,19.7,38224,0,-0.62,-0.6,0.06,-0.55,-0.89,-0.99,5,6.9,4.2,5.5,1
3401,28,689.69,0,-0.18,-1.05,-1.07,-0.52,-0.72,-0.86,5.4,13.2,9.1,6.25,1
3650,86.1,1250.03,1,,1,1.22,,,,5.3,13.6,6.2,10,0
2174,44.2,1043.97,0,0.21,-0.54,-1.76,0.03,0.25,0.06,6,13.4,-0.3,4.5,1
1000,,,,,,,,,,4.3,4.2,-0.4,12.4,1
3650,37.65,497.89,1,0.43,0.69,0.06,-0.09,0.19,0.89,-21.5,3.3,9.96,10.5,0
3650,,,0,0.97,0.92,0.95,0.62,0.95,0.73,,,,,0
1385,76,3637,0,1.18,0.29,1.02,0.79,0.9,0.49,4.1,4.6,3.4,7,1
3650,,14813.11,0,0.01,-0.03,-0.37,-0.05,0.07,-0.37,,,,,0
3650,,,0,0.11,0.67,0.99,0.17,0.35,0.27,,,,,0
3650,79,1722.72,1,0.02,0.86,1.21,0.26,0.59,0.62,4.9,19.5,29.49,14.2,0
3650,39.61,9279,1,-1.48,-2.17,-1.82,-1.5,-1.18,-1.5,-2.1,8.9,77,12.5,0
3650,9.04,3068.22,0,-0.36,0.21,0.45,-0.66,-0.25,-0.57,1.7,6.7,8.3,7,0
3650,30.01,1700.39,1,2.01,1.31,1.58,1.76,1.97,2.17,-2.3,14.9,44.5,,0
3650,35.9,917.08,0,1.41,0.84,0.89,1.35,1.17,0.8,6.9,2.3,6.1,11,0
3343,39.9,842.44,1,-0.82,-0.87,-1.51,-1.01,-1.01,-1,7.9,10.3,4.8,12,1
3650,25.6,554.78,1,-1.05,-0.22,0.15,-0.97,-1.18,-0.69,5.5,6.9,-1.1,4.5,0
3650,47.5,4234,,0.24,0.27,0.49,0.15,-0.14,-0.54,1.3,15.5,4,4.25,0
3650,34.4,673.21,0,-0.97,1.41,1.1,-0.72,0.34,-0.01,3.91,3.8,4.6,12,0
3650,,,0,-0.68,-0.42,-1.9,-1.69,-1.07,-1.16,,,,,0
665,50.5,1684.87,1,-1.22,-1.01,-1.12,-1.86,-1.99,-1.33,6.4,2.06,4.5,6.5,1
3650,49.95,1096.97,1,-0.5,-2.13,-0.94,0.13,-0.56,-0.7,-28.1,29,9.49,15,0
3176,31,1625.15,1,-1.64,-2.63,-1.49,-1.1,-1.24,-1.45,5,13.3,8.8,15.5,1